Name,Kitchens,Delivery cost (PLN),Min order cost (PLN)
Green it.,"Dania na lunch, Wrapy, Sałatki",0.0,30.0
Sushi Love,Sushi,5.0,50.0
Enna Pizza,Pizza,6.0,25.0
Curry Girls,"Curry, Indyjska",0.0,30.0
Smak Curry,"Curry, Indyjska",0.0,40.0
Everest Nepal,"Tajska, Dania na lunch, Indyjska",0.0,50.0
Sushi Fit,"Sushi, Ryby, Japońska",0.0,50.0
Wok Deli,"Tajska, Wegetariańska, Owoce morza",5.0,50.0
Guravio food & wine,"Włoska, Makarony, Pizza",0.0,30.0
Naleśnikarnia Wspólny Mianownik,"Desery, Polska, Zupy",0.0,30.0
P&P,"Polska, Pierogi",10.0,40.0
Makaronia,"Włoska, Makarony",4.0,35.0
Centralny Bar Mleczny 24 h,"Polska, Pierogi, Naleśniki",5.0,15.0
Metro Zapiekanki,"Kanapki, Amerykańska",5.0,20.0
Posypane Dom Makaronu,"Włoska, Dania na lunch, Makarony",0.0,30.0
Pho 2,"Wietnamska, Zupy",0.0,30.0
Green it.,"Dania na lunch, Wrapy, Sałatki",5.0,40.0
Restauracja Shahi Curry,"Curry, Indyjska",6.0,40.0
Rudy Pies Sushi,Sushi,0.0,40.0
Mango Vegan Street Food - Koszyki,"Wegańska, Wrapy",0.0,30.0
Mango Vegan Street Food - Dobra,"Wegańska, Wrapy, Bezglutenowa",0.0,30.0
Mango Vegan Street Food - Bracka,"Wegetariańska, Falafel, Kebab",0.0,30.0
Izumi Sushi,"Sushi, Tajska, Dania na lunch",0.0,50.0
La Vietnamita,"Chińska, Tajska, Wietnamska",5.0,30.0
Pizza z piecca,"Włoska, Pizza",5.0,35.0
Tagine - kuchnia marokańska,"Dania na lunch, Zupy, Arabska",0.0,30.0
Warszawski Mostek,"Kanapki, Dania na lunch, Burgery",0.0,30.0
Fugu Sushi Chodkiewicza,"Sushi, Japońska",0.0,50.0
5 Składników,"Sushi, Dania na lunch, Zupy",10.0,50.0
Projekt Sushi,"Sushi, Japońska, Owoce morza",0.0,0.0
India Gate,"Dania na lunch, Curry, Indyjska",0.0,30.0
Arbuz Kebab & Burger,"Burgery, Falafel, Kebab",0.0,35.0
Sushi Royal Złote Tarasy,"Sushi, Dania na lunch",0.0,40.0
Indyjskie Smaki,"Sałatki, Indyjska",10.0,40.0
Udon Bar,"Chińska, Dania na lunch",0.0,30.0
Kebab Hookah & Bar,"Turecka, Falafel, Kebab",3.0,20.0
Rock'n'roll Sushi Puławska,"Sushi, Japońska, Międzynarodowa",0.0,50.0
Tanuki Sushi,"Sushi, Japońska",0.0,50.0
Izumi Sushi and Grill,"Sushi, Japońska",7.0,100.0
Mama Pho Chmielna,"Chińska, Wietnamska, Zupy",0.0,30.0
Buła City,"Kanapki, Burgery, Międzynarodowa",0.0,30.0
Sushi Royal Bistro,"Sushi, Japońska",10.0,50.0
Subway,Kanapki,0.0,30.0
Spice Garden,Indyjska,0.0,35.0
Pyza Warszawska,"Wegańska, Polska, Pierogi",0.0,30.0
Tikka Tango,"Zupy, Menu dla dzieci, Indyjska",15.0,119.0
Pizza Nocna,"Pierogi, Makarony, Pizza",7.0,35.0
Boscaiola,"Włoska, Pizza",18.0,50.0
Fat Finch,"Włoska, Dania na lunch, Pizza",0.0,30.0
Jaipur,"Międzynarodowa, Curry, Indyjska",0.0,25.0
Vege Sushi,"Sushi, Wegetariańska, Wegańska",8.0,30.0
Rock N' Roll Sushi Żelazna,Sushi,0.0,50.0
Mr. Wrap,"Dania na lunch, Wrapy, Międzynarodowa",0.0,40.0
Kebabish Grill Bar,"Turecka, Kebab",0.0,30.0
Kebabish,"Gyros, Falafel, Kebab",5.0,40.0
Nocny Kebabish,"Turecka, Falafel, Kebab",5.0,40.0
Domino's Pizza,"Przekąski, Amerykańska, Pizza",0.0,29.0
Telepizza,"Włoska, Pizza",0.0,27.0
Pizzeria Don Carlo's Bemowo,"Włoska, Pizza",5.0,30.0
Detox Bar - Cold Pressed Juice,"Wegetariańska, Wegańska",0.0,30.0
Big Adriano,"Dania na lunch, Amerykańska, Pizza",0.0,30.0
Vege Małpa,"Wegańska, Dania na lunch, Falafel",0.0,30.0
Coco pizza,"Włoska, Dania na lunch, Pizza",5.0,29.0
Burgerownia,"Burgery, Przekąski, Amerykańska",16.0,50.0
Boscaiola,"Włoska, Pizza, Sałatki",13.0,50.0
Literatka,"Dania na lunch, Zupy, Sałatki",13.0,50.0
Trattoria Prima Pasta,"Włoska, Makarony",16.0,50.0
Kawa i Chili,"Meksykańska, Międzynarodowa, Drób",16.0,50.0
Bobby Burger,"Burgery, Przekąski, Amerykańska",0.0,30.0
Naleśnikarnia Smile,"Dania na lunch, Naleśniki",10.0,40.0
KFP Bar Mleczny,Polska,5.0,30.0
Bobby Burger,"Burgery, Amerykańska, Wołowina",0.0,30.0
Sushi Yana,"Sushi, Japońska",10.0,100.0
Night Pizza Factory,"Włoska, Pizza",8.0,30.0
Mazza Kebab,"Arabska, Kebab",6.0,29.0
Meet & Fit - Slow Food,"Wegańska, Burgery, Amerykańska",7.0,40.0
Rock N'Roll Sushi,Sushi,0.0,50.0
HashiOki Sushi Bar,"Sushi, Japońska",20.0,100.0
Sushi Box,"Sushi, Japońska, Zupy",0.0,150.0
Gold Sushi,"Sushi, Japońska, Zupy",0.0,100.0
Restauracja Katmandu,"Tajska, Wegetariańska, Indyjska",15.0,40.0
Grande Pierogi,"Polska, Pierogi, Zupy",0.0,80.0
Złoty Ryż,"Chińska, Tajska, Dania na lunch",15.0,50.0
India Express by Mandala Centrum,"Tajska, Zupy, Indyjska",15.0,30.0
Bar Restauracyjny Saigon Bemowo,"Chińska, Wietnamska, Dania na lunch",6.0,30.0
Sensi Sushi Bemowo,"Sushi, Japońska, Zupy",0.0,60.0
Gruby Benek,"Włoska, Pizza",6.5,25.0
Pepperoni Ristorante Pizzeria Noc,"Włoska, Pizza",15.0,25.0
I Love Sushi,"Sushi, Japońska",0.0,75.0
Mizumi Sushi,"Sushi, Japońska",0.0,50.0
Pizza Na Wypasie Nocą,"Włoska, Dania na lunch, Pizza",17.0,1.0
Chicago's Pizza Pasta & Grill Radiowa,"Włoska, Dania na lunch, Makarony",0.0,25.0
Solidarności Original Burgers Serial Grillers,"Burgery, Amerykańska",13.0,120.0
Sushiberry,"Sushi, Japońska, Dania na lunch",0.0,50.0
OM Sienna,"Tajska, Indyjska",10.0,80.0
Vintuna Kuchnia Tajska,"Tajska, Zupy, Owoce morza",10.0,50.0
Bydło i Powidło,"Kanapki, Burgery, Amerykańska",18.0,50.0
Wana Sushi,"Sushi, Japońska",0.0,120.0
Manty Restauracja Uzbecka,"Dania na lunch, Zupy, Sałatki",13.0,99.0
Arabella,"Włoska, Dania na lunch, Pizza",5.0,30.0
Skoro Sushi,"Sushi, Japońska, Zupy",0.0,80.0
SushiRoll Bistro,"Sushi, Japońska, Wegańska",0.0,60.0
Sushi Chef,"Sushi, Japońska",0.0,30.0
Biesiadowo,"Włoska, Pizza, Sałatki",5.0,20.0
Amai Sushi,"Sushi, Japońska",0.0,250.0
Welcome India,Indyjska,8.0,50.0
Pizza 60,"Włoska, Pizza",0.0,20.0
Latisana,"Włoska, Pizza",8.0,23.0
Sushi Mori Tarchomin,"Sushi, Japońska",0.0,70.0
India Express by Mandala,Indyjska,20.0,30.0
Sushi Maestro,"Sushi, Japońska",10.0,120.0
Pizza Warszawska,"Włoska, Dania na lunch, Pizza",29.9,99.0
Gruzja Kebab,"Pierogi, Międzynarodowa",20.0,100.0
Game of Pizza,"Włoska, Pizza",29.9,99.0
Bar&Restauracja Mekong,"Tajska, Zupy",0.0,80.0
Night Burger Noc,"Burgery, Amerykańska",0.0,50.0
Nocna Wyżerka,"Włoska, Makarony, Pizza",29.9,99.0
Noc i dzień pizza,"Włoska, Dania na lunch, Pizza",15.5,59.0
Night Burger Centrum,"Burgery, Amerykańska, Sałatki",0.0,50.0
Cziken Boss,"Burgery, Amerykańska, Sałatki",0.0,35.0
Pizza po Zmroku,"Włoska, Makarony, Pizza",9.0,30.0
Pizzeria La Torre Bemowo,"Dania na lunch, Pizza, Sałatki",0.0,25.0
Pizza Nocna,"Pierogi, Makarony, Pizza",15.5,59.0
India Express by Mandala Mokotów,"Tajska, Zupy",20.0,30.0
Pekin Duck,"Chińska, Kaczka, Drób",18.0,50.0
Kuchnia Orientalna Smaki Wschodu,"Chińska, Tajska, Wietnamska",6.0,25.0
Kebab King,Turecka,3.3,20.0
Nanaki Sushi,"Sushi, Japońska, Owoce morza",0.0,199.0
Arabella,"Włoska, Dania na lunch, Pizza",9.0,30.0
Sushi Chef,"Sushi, Japońska",0.0,60.0
Pizza po Zmroku,"Włoska, Makarony, Pizza",10.0,30.0
Kebabish Grill Bar,"Turecka, Kebab",5.0,30.0
Classic Doner Kebab,"Turecka, Falafel, Kebab",0.0,30.0
Restauracja Katmandu,"Tajska, Wegetariańska, Indyjska",10.0,40.0
Pizzeria Gemelli,"Włoska, Pizza, Sałatki",0.0,25.0
Saiko Sushi,"Sushi, Japońska",15.0,130.0
Restauracja Indyjska Injachi,"Zupy, Owoce morza, Indyjska",10.0,45.0
India Express by Mandala Mokotów,"Tajska, Zupy",15.0,30.0
Bar Restauracyjny Saigon Bemowo,"Chińska, Wietnamska, Dania na lunch",6.0,80.0
Burgery Nocą,"Burgery, Amerykańska",10.0,45.0
Amrit Oriental Food,Turecka,1.0,21.0
TODO Sushi,"Sushi, Japońska",0.0,80.0
Red-Sun Sushi,"Sushi, Japońska, Owoce morza",0.0,150.0
Pierogi z Pieca,"Polska, Pierogi, Zupy",8.0,50.0
Oto Sushi,"Sushi, Japońska, Owoce morza",20.0,150.0
I Love Sushi,"Sushi, Japońska",1.0,75.0
Khuk by Little Thai Gallery,"Tajska, Owoce morza",18.0,50.0
Kik Fit Bar,"Burgery, Makarony, Wrapy",25.0,45.0
Przystanek Ogień i Dym,"Chińska, Burgery, Amerykańska",0.0,80.0
Pizza Na Wypasie Nocą,"Włoska, Dania na lunch, Pizza",15.0,1.0
Solidarności Original Burgers Serial Grillers,"Burgery, Amerykańska",13.0,80.0
OM Sienna,"Tajska, Indyjska",8.0,60.0
Dina Kebab,"Turecka, Kebab",3.0,25.0
Ou Sushi,"Sushi, Japońska",0.0,89.0
Da Grasso,"Włoska, Pizza, Sałatki",5.0,20.0
Big Adriano Deep Dish Pizza & Grill,"Burgery, Amerykańska, Pizza",2.99,26.0
Sen o sushi,"Sushi, Japońska",0.0,150.0
Pora Karmienia Pizza Pasta Kebab,"Makarony, Pizza, Kebab",0.0,40.0
Thai Me Up,"Tajska, Owoce morza",18.0,50.0
Manty Restauracja Uzbecka,"Dania na lunch, Zupy, Sałatki",8.0,50.0
Georgia Restauracja Gruzińska,"Dania na lunch, Sałatki, Gruzińska",15.0,100.0
Yume Sushi,"Sushi, Japońska, Pierogi",0.0,50.0
Sushi Chef,"Sushi, Japońska",0.0,90.0
Biesiadowo,"Włoska, Pizza, Sałatki",6.0,20.0
City Restaurant,"Włoska, Pizza, Sałatki",5.0,35.0
Susharnia,"Sushi, Japońska, Zupy",0.0,100.0
Catering Zushi,"Sushi, Japońska, Owoce morza",0.0,60.0
Everest Lounge food music & bar,"Wegetariańska, Ryby, Indyjska",15.0,30.0
Welcome India,Indyjska,0.0,40.0
Pizzeria Giovanni,"Włoska, Makarony, Pizza",0.0,80.0
Prima Pizza Noc,"Włoska, Makarony, Pizza",5.0,30.0
Mechanizm Kręcenia Pizza Nocą,"Włoska, Pizza, Sałatki",6.0,20.0
Vegan Pizza,"Wegetariańska, Wegańska, Pizza",6.0,25.0
Center Pizza,"Włoska, Pizza, Sałatki",2.0,20.0
Swagat Kuchnia Indyjska,"Curry, Indyjska",0.0,60.0
Pizzeria Złota 65,Włoska,0.0,28.0
Via Suzina,"Włoska, Makarony, Pizza",24.0,50.0
Maharaja Thai,"Tajska, Curry, Indyjska",18.0,50.0
Casablanca,"Międzynarodowa, Arabska, Falafel",18.0,50.0
Dekant WineBar & Restaurant,"Polska, Dania na lunch",24.0,50.0
77 Sushi,"Sushi, Japońska",19.9,150.0
Kotłownia,"Makarony, Sałatki, Drób",24.0,50.0
L'arc,"Francuska, Ryby, Zupy",24.0,50.0
Bar Viet My,"Chińska, Tajska, Wietnamska",5.0,80.0
Silk&Spicy,"Tajska, Japońska",24.0,50.0
Amal Kebab,"Turecka, Kebab",0.0,20.0
Ha Noi Bar Orientalny,"Chińska, Tajska, Wietnamska",0.0,30.0
Boscaiola,"Włoska, Dania na lunch, Makarony",24.0,50.0
Sushi Maestro,"Sushi, Japońska",10.0,80.0
Sumada sushi,"Sushi, Japońska, Pierogi",10.0,100.0
Kuchnia Smakosza,"Dania na lunch, Makarony, Sałatki",24.0,50.0
Premium Sushi & More,Sushi,25.0,70.0
Sushi Nocą,"Sushi, Japońska, Wegańska",15.0,50.0
BONAppetit,"Włoska, Makarony, Pizza",3.0,25.0
Kary Mary Indian Food,"Dania na lunch, Indyjska",7.0,50.0
Pizzeria Verde Oliva,"Włoska, Dania na lunch, Zupy",5.0,28.0
Black Real Burgers,"Burgery, Przekąski, Amerykańska",24.0,50.0
Power Bull Burgers,"Burgery, Przekąski, Amerykańska",0.0,25.0
Soja Sushi & Thai,"Sushi, Sałatki",0.0,100.0
Shiva Lounge,"Dania na lunch, Indyjska",15.0,39.0
Pizzeria 30,"Włoska, Makarony, Pizza",4.0,30.0
My kebab,"Turecka, Falafel, Kebab",5.0,30.0
Shahi Curry,"Curry, Indyjska",15.0,40.0
Kumate Sushi,"Chińska, Sushi, Japońska",7.0,47.0
zaParowani Nocą,"Chińska, Pierogi",6.0,25.0
Naleśnikarnia Smile,"Dania na lunch, Przekąski, Naleśniki",15.0,40.0
Makalu Restauracja Indyjska,Indyjska,10.0,100.0
Burger Station,"Pierogi, Burgery, Amerykańska",15.0,60.0
Pycha Na Widelcu,"Polska, Makarony, Pizza",8.0,40.0
Dobra Buła - Karabeli,"Burgery, Amerykańska",0.0,40.0
Thai Simple,"Tajska, Wietnamska",3.0,30.0
Amal Kebab Noc,"Arabska, Kebab",9.0,20.0
West Cury Express,"Wegetariańska, Curry, Indyjska",10.0,45.0
Pizza po zachodzie,"Włoska, Makarony, Pizza",12.0,60.0
Caviar Sushi,Sushi,7.0,40.0
India House,"Zupy, Curry, Indyjska",20.0,40.0
Wypas Burger,"Burgery, Amerykańska, Sałatki",9.0,35.0
Indyk Boss,"Burgery, Przekąski, Wrapy",0.0,40.0
Sushi Ursus,Sushi,6.0,60.0
Cziken Boss Noc,"Burgery, Amerykańska, Sałatki",5.0,35.0
Klawa Szama,"Polska, Dania na lunch",15.0,30.0
Soto Sushi,"Sushi, Japońska",0.0,50.0
El Kurra,"Meksykańska, Polska, Dania na lunch",0.0,40.0
Burgery Nocą Targówek,"Burgery, Przekąski, Amerykańska",9.0,45.0
Hokkaido Sushi,Sushi,0.0,70.0
Restauracja Awangarda,"Polska, Pizza",7.0,40.0
Sushi Love,Sushi,15.0,120.0
Smak Curry,"Curry, Indyjska",0.0,120.0
Everest Nepal,"Tajska, Dania na lunch, Indyjska",15.0,50.0
Amai Sushi,"Sushi, Japońska",0.0,35.0
P&P,"Polska, Pierogi",15.0,40.0
Pyszny Naleśnik,"Desery, Polska, Naleśniki",10.0,50.0
Pizza Expert Noc,"Włoska, Pizza",0.0,45.0
Statek Food,"Chińska, Tajska, Wietnamska",4.0,28.0
Chupan Kebab,"Przekąski, Falafel, Kebab",0.0,25.0
Kebab Żbik,"Falafel, Kebab",8.0,30.0
Centralny Bar Mleczny 24 h,"Polska, Pierogi, Naleśniki",8.0,15.0
Mado Kebab Grill,"Falafel, Kebab",4.3,25.0
Bombay Dreams,"Curry, Indyjska",7.0,50.0
Street Burger,"Burgery, Przekąski, Amerykańska",0.0,25.0
Pizzeria Il Vicoletto,"Włoska, Makarony, Pizza",5.0,35.0
Fugu Sushi Chodkiewicza,"Sushi, Japońska",0.0,120.0
Projekt Sushi,"Sushi, Japońska, Owoce morza",10.0,50.0
Sushi Zushi,Sushi,0.0,150.0
Brother's pizza Black and White,"Pizza, Sałatki",6.0,25.0
Rodari Pizza,"Włoska, Makarony, Pizza",0.0,30.0
Rock'n'roll Sushi Puławska,"Sushi, Japońska, Międzynarodowa",8.0,100.0
Melodia Smaku,"Polska, Dania na lunch, Pierogi",6.0,55.0
Spice Garden,Indyjska,6.0,35.0
Tikka Tango,"Zupy, Menu dla dzieci, Indyjska",0.0,39.0
Boscaiola,"Włoska, Pizza",24.0,50.0
Rock N' Roll Sushi Żelazna,Sushi,0.0,100.0
Kebabish,"Gyros, Falafel, Kebab",20.0,40.0
Nocny Kebabish,"Turecka, Falafel, Kebab",20.0,40.0
Piacere Night,"Włoska, Wegańska, Pizza",8.0,35.0
Masala Curry - Restauracja Indyjska,"Curry, Indyjska",5.0,40.0
Burgerownia,"Burgery, Przekąski, Amerykańska",24.0,50.0
Boscaiola,"Włoska, Pizza, Sałatki",24.0,50.0
Literatka,"Dania na lunch, Zupy, Sałatki",24.0,50.0
Restauracja Ebi Sushi Piastów,Sushi,10.0,50.0
San Giovanni,"Włoska, Pizza",5.0,25.0
Sushi Roll Bistro,"Sushi, Japońska",10.0,50.0
Pogromcy Meatów,"Burgery, Amerykańska",24.0,50.0
Matsuri Sushi,"Sushi, Japońska",0.0,100.0
Aroma & Taste,"Curry, Indyjska",0.0,40.0
Nachos by Night,"Hiszpańska/Tapas, Meksykańska, Przekąski",23.0,70.0
Mamma Mia Never Closed,"Makarony, Pizza, Sałatki",10.0,50.0
Pizza Expert,"Pizza, Sałatki",12.0,50.0
Indian Curry,"Curry, Indyjska",15.0,40.0
Anokha India,"Zupy, Sałatki, Indyjska",15.0,69.0
Pierogarnia Skazka,"Polska, Dania na lunch, Pierogi",15.0,120.0
Coco Pizza by night,"Włoska, Pizza",10.0,39.0
Hindu Curry,"Curry, Indyjska",10.0,40.0
Restauracja Gruzińska Tbilisi,"Dania na lunch, Zupy, Gruzińska",15.0,100.0
Taste of Aroma,"Zupy, Curry, Indyjska",7.0,60.0
Rock N'Roll Sushi,Sushi,8.0,100.0
Restauracja Indyjska Injachi,"Zupy, Owoce morza, Indyjska",15.0,45.0
Kuchnia Orientalna Smaki Wschodu,"Chińska, Tajska, Wietnamska",12.0,50.0
Bar Leniwiec,"Polska, Dania na lunch, Pierogi",0.0,25.0
Dobra Buła - Karabeli,"Burgery, Amerykańska",0.0,35.0
Pizza po zachodzie,"Włoska, Makarony, Pizza",5.0,35.0
India House,"Zupy, Curry, Indyjska",15.0,40.0
Amai Sushi,"Sushi, Japońska",0.0,70.0
Pizza Nocą u Dziadka,"Włoska, Pizza",6.5,30.0
Stefano Diem Linh,"Wietnamska, Polska, Pizza",6.0,25.0
Tapas Bar El Punto,"Hiszpańska/Tapas, Zupy, Międzynarodowa",0.0,40.0
Spice Garden,Indyjska,10.0,35.0
Aroma & Taste,"Curry, Indyjska",5.0,40.0
Pizzeria Gemelli,"Włoska, Pizza, Sałatki",0.0,80.0
Pizzeria Di Mateo,"Włoska, Pizza, Sałatki",0.0,30.0
Gruby Benek,"Włoska, Pizza",10.5,50.0
I Love Sushi,"Sushi, Japońska",3.0,75.0
Royal Kebab Michałowice,"Turecka, Sałatki, Kebab",6.0,20.0
Da Grasso,"Włoska, Pizza, Sałatki",6.0,20.0
Casablanca,"Międzynarodowa, Arabska, Falafel",24.0,50.0
Ryż&Fish,Sushi,10.0,30.0
Erebuni Kebab,"Turecka, Międzynarodowa, Kebab",10.0,10.0
Gruzja Kebab,"Pierogi, Międzynarodowa",15.0,80.0
Power Bull Burgers,"Burgery, Przekąski, Amerykańska",0.0,80.0
Shiva Lounge,"Dania na lunch, Indyjska",20.0,39.0
Restauracja Indyjska Kurkuma,"Curry, Indyjska",15.0,100.0
Palermo Pizza & Pasta,"Dania na lunch, Pizza",0.0,20.0
Telepizza,"Włoska, Pizza",10.0,27.0
Pizza po zachodzie,"Włoska, Makarony, Pizza",40.0,45.0
Caviar Sushi,Sushi,10.0,40.0
Cziken Boss Noc,"Burgery, Amerykańska, Sałatki",15.0,50.0
Cziken Boss,"Burgery, Amerykańska, Sałatki",7.0,35.0
Pizza po Zmroku,"Włoska, Makarony, Pizza",13.0,30.0
Sushi Fit,"Sushi, Ryby, Japońska",0.0,100.0
Chupan Kebab,"Przekąski, Falafel, Kebab",3.0,25.0
Street Burger,"Burgery, Przekąski, Amerykańska",0.0,80.0
Nam Ninh,"Tajska, Wietnamska",10.0,30.0
Classic Doner Kebab,"Turecka, Falafel, Kebab",5.0,30.0
Masala Curry - Restauracja Indyjska,"Curry, Indyjska",8.0,40.0
I Love Sushi,"Sushi, Japońska",2.0,75.0
Sushi Ronin,"Sushi, Japońska",0.0,40.0
Mai Pizza Break,"Włoska, Pizza, Sałatki",20.0,25.0
Popis Władzy,"Włoska, Pizza",20.0,25.0
Metronocni,"Włoska, Pizza, Sałatki",20.0,25.0
Vintuna Kuchnia Tajska,"Tajska, Zupy, Owoce morza",15.0,70.0
Da Grasso,"Włoska, Pizza, Sałatki",3.5,20.0
Pora Karmienia Pizza Pasta Kebab,"Makarony, Pizza, Kebab",0.0,90.0
Kotłownia,"Makarony, Sałatki, Drób",18.0,50.0
Domino's Pizza,"Desery, Pizza",0.0,29.0
Sumada sushi,"Sushi, Japońska, Pierogi",15.0,100.0
Telepizza,"Włoska, Pizza",5.0,27.0
Amal Kebab Noc,"Arabska, Kebab",6.0,20.0
Kura i Frytura,"Burgery, Amerykańska, Sałatki",10.0,40.0
Pizza Nocą u Dziadka,"Włoska, Pizza",5.5,30.0
Zeppelin Burger,"Burgery, Przekąski, Amerykańska",0.0,35.0
Sushi Zushi,Sushi,0.0,100.0
Trattoria Prima Pasta,"Włoska, Makarony",18.0,50.0
Bao Ngoc,"Tajska, Wietnamska, Makarony",7.0,100.0
Taste of Aroma,"Zupy, Curry, Indyjska",5.0,60.0
Gruby Benek,"Włoska, Pizza",8.5,50.0
Vintuna Kuchnia Tajska,"Tajska, Zupy, Owoce morza",20.0,70.0
Shahi Curry,"Curry, Indyjska",15.0,50.0
Vega,"Wegetariańska, Dania na lunch",20.0,23.0
Da Grasso,"Włoska, Pizza, Sałatki",4.0,20.0
Cziken Boss,"Burgery, Amerykańska, Sałatki",5.0,35.0
Mado Kebab Grill,"Falafel, Kebab",2.3,25.0
Brother's pizza Black and White,"Pizza, Sałatki",10.0,30.0
Kuchnia Wietnamska Viet Thai,"Chińska, Tajska, Wietnamska",8.0,35.0
Kura i Frytura,"Burgery, Amerykańska, Sałatki",8.0,35.0
India Gate,"Dania na lunch, Curry, Indyjska",10.0,80.0
Stefano Diem Linh,"Wietnamska, Polska, Pizza",5.0,25.0
Melodia Smaku,"Polska, Dania na lunch, Pierogi",5.0,45.0
Pizza Expert Noc,"Włoska, Pizza",0.0,30.0
Prima Pizza Noc,"Włoska, Makarony, Pizza",2.0,30.0
Via Suzina,"Włoska, Makarony, Pizza",18.0,50.0
Black Real Burgers,"Burgery, Przekąski, Amerykańska",18.0,50.0
Asia Deli,"Chińska, Tajska, Wietnamska",5.0,30.0
Kura i Frytura,"Burgery, Amerykańska, Sałatki",7.0,35.0
Hindu Curry,"Curry, Indyjska",5.0,40.0
Kuchnia Orientalna Smaki Wschodu,"Chińska, Tajska, Wietnamska",12.0,40.0
Burgery Nocą,"Burgery, Amerykańska",0.0,40.0
Dobra Buła,"Burgery, Amerykańska",0.0,35.0
Lider Kebab Kasprowicza,"Turecka, Kanapki, Sałatki",7.0,20.0
zaParowani Nocą,"Chińska, Pierogi",10.0,25.0
Agni Kebab,"Turecka, Kebab",6.0,50.0
Thai Simple,"Tajska, Wietnamska",6.0,30.0
Sensei,"Sushi, Ryby, Japońska",10.0,90.0
Sushi Bistro - Ursynów,"Sushi, Ryby, Japońska",0.0,20.0
Laligurash - Restauracja Nepalska i Indyjska,"Zupy, Owoce morza, Indyjska",6.0,50.0
Rock'n'roll Sushi Puławska,"Sushi, Japońska, Międzynarodowa",10.0,100.0
Tikka Tango,"Zupy, Menu dla dzieci, Indyjska",10.0,39.0
Kebabish Grill Bar,"Turecka, Kebab",15.0,30.0
Chiński Smak,"Chińska, Pierogi, Sałatki",10.0,30.0
Rock N'Roll Sushi,Sushi,10.0,100.0
